,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
801,ASUS,AMD,Ryzen 9,Not Available,16,LPDDR4X,1024,0,Windows,4,Casual,1 year,Yes,Yes,114990,4.0,32,6
802,MSI,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,0,Casual,No warranty,No,No,146990,3.0,0,0
803,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,104990,4.0,14,2
804,ASUS,AMD,Ryzen 9,Not Available,4,LPDDR4X,1024,0,Windows,4,Casual,1 year,Yes,No,114990,4.0,14,1
805,ASUS,AMD,Ryzen 9,Not Available,4,LPDDR4X,1024,0,Windows,4,Casual,1 year,Yes,Yes,124990,5.0,3,0
806,ASUS,AMD,Ryzen 9,Not Available,4,LPDDR4X,1024,0,Windows,0,Casual,No warranty,Yes,No,134990,3.0,0,0
808,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,129990,3.0,0,0
809,ASUS,AMD,Ryzen 9,Not Available,4,LPDDR4X,1024,0,Windows,4,Casual,1 year,Yes,Yes,142990,4.0,4,1
810,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,121990,3.0,0,0
811,ASUS,AMD,Ryzen 9,Not Available,4,LPDDR4X,1024,0,Windows,4,Casual,1 year,Yes,Yes,124990,4.0,44,12
812,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,6,Casual,No warranty,No,No,141990,4.0,61,13
813,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,4,Casual,1 year,No,No,162990,3.0,0,0
814,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,130500,3.0,0,0
815,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,4,Casual,No warranty,No,No,116990,3.0,0,0
816,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,6,Casual,No warranty,No,No,138990,3.0,0,0
818,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,135990,3.0,0,0
819,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,144990,3.0,0,0
820,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,4,Casual,1 year,No,No,149990,3.0,0,0
821,ASUS,AMD,Ryzen 9,Not Available,4,DDR4,1024,0,Windows,4,Casual,1 year,No,No,142990,3.0,0,0
822,Lenovo,AMD,Ryzen 5,10th,8,DDR4,512,0,DOS,0,ThinNlight,No warranty,No,No,57490,4.0,18,4
